state,county,FIPS,LEVEL,ALAND_SQMI,AWATER_SQMI
AL,Autauga County,01001,0.0,594.446,9.942
AL,Baldwin County,01003,0.0,1589.808,437.504
AL,Barbour County,01005,0.4849,884.8760000000001,19.639
AL,Bibb County,01007,0.9819,622.5830000000001,3.5860000000000003
AL,Blount County,01009,2.645,644.807,5.821000000000001
AL,Bullock County,01011,0.061500000000000006,622.806,2.338
AL,Butler County,01013,0.0,776.828,1.053
AL,Calhoun County,01015,2.7144,605.889,6.397
AL,Chambers County,01017,2.2173,596.531,6.582000000000001
AL,Cherokee County,01019,3.0,553.72,46.258
AL,Chilton County,01021,0.3371,692.8539999999999,7.9479999999999995
AL,Choctaw County,01023,0.4986,913.5,7.359
AL,Clarke County,01025,0.005600000000000001,1238.465,14.109000000000002
AL,Clay County,01027,2.0,603.961,2.04
AL,Cleburne County,01029,2.3213000000000004,560.105,0.909
AL,Coffee County,01031,0.0,678.9860000000001,1.5090000000000001
AL,Colbert County,01033,2.0,592.62,30.9
AL,Conecuh County,01035,0.0,850.1569999999999,2.565
AL,Coosa County,01037,1.2355,650.9259999999999,15.423
AL,Covington County,01039,0.0,1030.4560000000001,13.331
AL,Crenshaw County,01041,0.0,608.84,2.076
AL,Cullman County,01043,2.0028,734.898,20.123
AL,Dale County,01045,0.0,561.126,1.551
AL,Dallas County,01047,0.3643,978.695,15.11
AL,DeKalb County,01049,3.0755,777.0939999999999,1.591
AL,Elmore County,01051,0.056900000000000006,618.488,38.553000000000004
AL,Escambia County,01053,0.0,945.08,8.059
AL,Etowah County,01055,3.0,535.284,13.345
AL,Fayette County,01057,1.9809,627.684,1.672
AL,Franklin County,01059,2.0,633.817,12.706
AL,Geneva County,01061,0.0,574.408,4.543
AL,Greene County,01063,1.4413999999999998,647.105,12.835999999999999
AL,Hale County,01065,0.8375,643.943,12.558
AL,Henry County,01067,0.1297,561.75,6.559
AL,Houston County,01069,0.0,579.866,1.811
AL,Jackson County,01071,3.2683999999999997,1077.867,48.903
AL,Jefferson County,01073,1.7776000000000003,1111.289,12.527999999999999
AL,Lamar County,01075,1.9972,604.846,0.618
AL,Lauderdale County,01077,2.009,667.7,51.9
AL,Lawrence County,01079,2.2955,690.677,26.52
AL,Lee County,01081,1.5543,607.552,8.297
AL,Limestone County,01083,2.9994,559.939,47.248000000000005
AL,Lowndes County,01085,0.0,715.9110000000001,9.158999999999999
AL,Macon County,01087,0.35960000000000003,608.908,4.3
AL,Madison County,01089,2.9506,801.6089999999999,11.106
AL,Marengo County,01091,0.9641999999999998,976.882,5.789
AL,Marion County,01093,2.0,742.2919999999999,1.2790000000000001
AL,Marshall County,01095,2.6558000000000006,565.842,57.336999999999996
AL,Mobile County,01097,0.0,1229.4,414.61199999999997
AL,Monroe County,01099,0.0,1025.687,8.73
AL,Montgomery County,01101,0.0,784.363,15.548
AL,Morgan County,01103,2.8089999999999997,579.36,19.694000000000003
AL,Perry County,01105,0.22440000000000002,719.664,4.216
AL,Pickens County,01107,1.2008,881.43,8.695
AL,Pike County,01109,0.0,672.1039999999999,0.902
AL,Randolph County,01111,2.5420000000000003,580.549,3.585
AL,Russell County,01113,1.0197999999999998,641.154,6.037999999999999
AL,Saint Clair County,01115,2.7898,631.905,21.735
AL,Shelby County,01117,1.5001,785.3689999999999,24.155
AL,Sumter County,01119,1.6216,903.8889999999999,9.433
AL,Talladega County,01121,2.2658,736.7769999999999,23.529
AL,Tallapoosa County,01123,1.5301,716.5210000000001,49.733999999999995
AL,Tuscaloosa County,01125,1.0745,1321.6770000000001,29.574
AL,Walker County,01127,2.0,791.194,14.0
AL,Washington County,01129,0.0,1080.2069999999999,8.359
AL,Wilcox County,01131,0.28309999999999996,888.498,18.913
AL,Winston County,01133,2.0,612.979,18.889
AK,Aleutians East Borough,02013,0.0,6981.96,8028.201
AK,Aleutians West Census Area,02016,0.0,4390.26,9726.157
AK,Anchorage Municipality,02020,0.0,1706.6070000000002,256.0
AK,Bethel Census Area,02050,0.0,40570.123999999996,4934.236
AK,Bristol Bay Borough,02060,0.0,503.85,383.722
AK,Denali Borough,02068,0.06709999999999999,12747.596000000001,25.509
